<function mean_squared_error at 0x7efc95b171e0>,relu,1400,40,2,0,0
<function mean_squared_error at 0x7efc95b171e0>,relu,1400,40,3,0,0
<function mean_squared_error at 0x7efc95b171e0>,relu,1400,40,4,0,0
<function mean_squared_error at 0x7efc95b171e0>,relu,1400,80,1,0,0
<function mean_squared_error at 0x7efc95b171e0>,relu,1400,80,2,0,0
<function mean_squared_error at 0x7efc95b171e0>,relu,1400,80,3,0,0
<function mean_squared_error at 0x7efc95b171e0>,relu,1400,80,4,0,0
<function mean_squared_error at 0x7efc95b171e0>,relu,1400,120,1,0,0
<function mean_squared_error at 0x7efc95b171e0>,relu,1400,120,2,0,0
<function mean_squared_error at 0x7efc95b171e0>,relu,1400,120,3,0,0
<function mean_squared_error at 0x7efc95b171e0>,relu,1400,120,4,0,0
<function mean_squared_error at 0x7efc95b171e0>,relu,14000,40,1,0,0
<function mean_squared_error at 0x7efc95b171e0>,relu,14000,40,2,0,0
<function mean_squared_error at 0x7efc95b171e0>,relu,14000,40,3,0,0
<function mean_squared_error at 0x7efc95b171e0>,relu,14000,40,4,0,0
<function mean_squared_error at 0x7efc95b171e0>,relu,14000,80,1,0,0
<function mean_squared_error at 0x7efc95b171e0>,relu,14000,80,2,0,0
<function mean_squared_error at 0x7efc95b171e0>,relu,14000,80,3,0,0
<function mean_squared_error at 0x7efc95b171e0>,relu,14000,80,4,0,0
<function mean_squared_error at 0x7efc95b171e0>,relu,14000,120,1,0,0
<function mean_squared_error at 0x7efc95b171e0>,relu,14000,120,2,0,0
<function mean_squared_error at 0x7efc95b171e0>,relu,14000,120,3,0,0
<function mean_squared_error at 0x7efc95b171e0>,relu,14000,120,4,0,0
<function binary_crossentropy at 0x7efc95aac1e0>,linear,1400,40,1,0,0
<function binary_crossentropy at 0x7efc95aac1e0>,linear,1400,40,2,0,0
<function binary_crossentropy at 0x7efc95aac1e0>,linear,1400,40,3,0,0
<function binary_crossentropy at 0x7efc95aac1e0>,linear,1400,40,4,0,0
<function binary_crossentropy at 0x7efc95aac1e0>,linear,1400,80,1,0,0
<function binary_crossentropy at 0x7efc95aac1e0>,linear,1400,80,2,0,0
<function binary_crossentropy at 0x7efc95aac1e0>,linear,1400,80,3,0,0
<function binary_crossentropy at 0x7efc95aac1e0>,linear,1400,80,4,0,0
<function binary_crossentropy at 0x7efc95aac1e0>,linear,1400,120,1,1,1
<function binary_crossentropy at 0x7efc95aac1e0>,linear,1400,120,2,0,0
<function binary_crossentropy at 0x7efc95aac1e0>,linear,1400,120,3,0,0
<function binary_crossentropy at 0x7efc95aac1e0>,linear,1400,120,4,0,0
<function binary_crossentropy at 0x7efc95aac1e0>,linear,14000,40,1,0,0
<function binary_crossentropy at 0x7efc95aac1e0>,linear,14000,40,2,0,0
<function binary_crossentropy at 0x7efc95aac1e0>,linear,14000,40,3,0,0
<function binary_crossentropy at 0x7efc95aac1e0>,linear,14000,40,4,0,0
<function binary_crossentropy at 0x7efc95aac1e0>,linear,14000,80,1,0,0
<function binary_crossentropy at 0x7efc95aac1e0>,linear,14000,80,2,0,0
<function binary_crossentropy at 0x7efc95aac1e0>,linear,14000,80,3,0,0
<function binary_crossentropy at 0x7efc95aac1e0>,linear,14000,80,4,0,1
<function binary_crossentropy at 0x7efc95aac1e0>,linear,14000,120,1,0,0
<function binary_crossentropy at 0x7efc95aac1e0>,linear,14000,120,2,5,5
<function binary_crossentropy at 0x7efc95aac1e0>,linear,14000,120,3,0,0
<function binary_crossentropy at 0x7efc95aac1e0>,linear,14000,120,4,2,2
<function binary_crossentropy at 0x7efc95aac1e0>,sigmoid,1400,40,1,0,0
<function binary_crossentropy at 0x7efc95aac1e0>,sigmoid,1400,40,2,0,0
<function binary_crossentropy at 0x7efc95aac1e0>,sigmoid,1400,40,3,0,0
